Capacitance,Time (200 ms)
0,1
75,2
256,3
218,4
0,5
0,6
180,7
303,8
2,9
41,10
0,11
136,12
310,13
353,14
249,15
49,16
69,17
3,18
383,19
320,20
147,21
12,22
161,23
322,24
328,25
2,26
5,27
74,28
270,29
359,30
329,31
156,32
44,33
1,34
16,35
352,36
253,37
50,38
64,39
272,40
370,41
3,42
75,43
18,44
159,45
326,46
364,47
268,48
79,49
83,50
5,51
368,52
344,53
171,54
34,55
182,56
330,57
3,58
94,59
94,60
87,61
284,62
408,63
348,64
210,65
51,66
9,67
346,68
385,69
279,70
98,71
92,72
274,73
3,74
63,75
207,76
46,77
209,78
366,79
393,80
324,81
1,82
1,83
264,84
369,85
398,86
289,87
87,88
154,89
3,90
410,91
371,92
187,93
62,94
236,95
360,96
394,97
2,98
123,99
128,100
293,101
419,102
404,103
266,104
97,105
4,106
352,107
435,108
361,109
240,110
87,111
206,112
3,113
419,114
371,115
212,116
99,117
217,118
406,119
4,120
74,121
240,122
112,123
229,124
386,125
448,126
400,127
8,128
8,129
216,130
368,131
441,132
400,133
272,134
80,135
9,136
362,137
416,138
403,139
313,140
158,141
166,142
3,143
27,144
453,145
345,146
162,147
112,148
307,149
433,150
45,151
385,152
227,153
85,154
249,155
418,156
445,157
1,158
251,159
111,160
228,161
379,162
456,163
416,164
2,165
20,166
235,167
391,168
473,169
419,170
302,171
134,172
0,173
372,174
465,175
448,176
337,177
140,178
199,179
3,180
468,181
447,182
327,183
134,184
213,185
380,186
4,187
49,188
345,189
153,190
240,191
377,192
492,193
4,194
1,195
132,196
220,197
416,198
479,199
459,200
317,201
4,202
269,203
430,204
475,205
448,206
283,207
154,208
5,209
432,210
474,211
446,212
258,213
149,214
311,215
4,216
456,217
409,218
242,219
180,220
332,221
477,222
482,223
382,224
189,225
223,226
381,227
483,228
465,229
3,230
70,231
254,232
429,233
507,234
427,235
289,236
182,237
36,238
457,239
482,240
435,241
246,242
216,243
370,244
93,245
497,246
375,247
197,248
248,249
401,250
5,251
97,252
377,253
192,254
254,255
408,256
520,257
4,258
50,259
186,260
282,261
444,262
526,263
479,264
3,265
99,266
291,267
451,268
525,269
476,270
331,271
2,272
87,273
456,274
527,275
480,276
327,277
202,278
2,279
68,280
528,281
494,282
350,283
199,284
306,285
4,286
541,287
479,288
344,289
221,290
319,291
467,292
5,293
507,294
359,295
205,296
295,297
458,298
539,299
1,300
408,301
224,302
287,303
457,304
552,305
520,306
40,307
232,308
291,309
426,310
542,311
520,312
4,313
89,314
234,315
420,316
530,317
532,318
485,319
3,320
7,321
400,322
525,323
559,324
522,325
378,326
8,327
356,328
481,329
555,330
545,331
444,332
2,333
0,334
428,335
566,336
565,337
479,338
360,339
2,340
401,341
535,342
618,343
563,344
469,345
329,346
33,347
468,348
576,349
597,350
530,351
399,352
2,353
388,354
531,355
611,356
578,357
509,358
3,359
8,360
438,361
538,362
597,363
560,364
458,365
310,366
351,367
492,368
585,369
605,370
552,371
4,372
310,373
386,374
512,375
590,376
579,377
5,378
99,379
340,380
430,381
537,382
595,383
598,384
9,385
363,386
354,387
441,388
565,389
611,390
5,391
479,392
351,393
362,394
474,395
579,396
608,397
91,398
468,399
344,400
388,401
493,402
605,403
1,404
543,405
431,406
345,407
401,408
546,409
6,410
607,411
530,412
413,413
323,414
444,415
563,416
44,417
605,418
527,419
377,420
362,421
482,422
9,423
636,424
602,425
493,426
355,427
374,428
4,429
572,430
637,431
591,432
489,433
354,434
3,435
8,436
610,437
640,438
576,439
502,440
367,441
2,442
495,443
602,444
627,445
607,446
493,447
4,448
378,449
505,450
614,451
648,452
624,453
0,454
386,455
364,456
510,457
586,458
642,459
9,460
502,461
371,462
364,463
486,464
607,465
649,466
622,467
519,468
424,469
368,470
475,471
572,472
45,473
621,474
560,475
423,476
392,477
487,478
5,479
642,480
640,481
583,482
478,483
393,484
7,485
590,486
659,487
660,488
602,489
495,490
4,491
431,492
544,493
647,494
679,495
627,496
527,497
399,498
432,499
568,500
633,501
680,502
5,503
568,504
428,505
404,506
502,507
635,508
9,509
644,510
560,511
421,512
403,513
526,514
9,515
696,516
643,517
557,518
434,519
415,520
6,521
616,522
700,523
641,524
541,525
406,526
3,527
518,528
625,529
692,530
654,531
565,532
8,533
394,534
520,535
639,536
687,537
637,538
3,539
409,540
400,541
506,542
633,543
690,544
3,545
556,546
410,547
396,548
553,549
662,550
6,551
622,552
533,553
403,554
416,555
581,556
6,557
684,558
623,559
494,560
355,561
462,562
6,563
673,564
681,565
580,566
434,567
400,568
5,569
23,570
687,571
644,572
574,573
398,574
4,575
40,576
654,577
674,578
641,579
521,580
3,581
33,582
589,583
685,584
677,585
600,586
4,587
67,588
494,589
618,590
719,591
697,592
6,593
487,594
397,595
493,596
636,597
699,598
6,599
641,600
497,601
374,602
504,603
620,604
6,605
714,606
597,607
496,608
383,609
508,610
6,611
697,612
695,613
628,614
479,615
385,616
5,617
615,618
690,619
710,620
623,621
517,622
7,623
518,624
608,625
710,626
717,627
635,628
0,629
409,630
522,631
639,632
711,633
695,634
37,635
519,636
410,637
539,638
641,639
731,640
